track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6IaLeBuIFuX9N5APlk7hSD,Mahirap Magmahal ng Syota ng Iba,4RA4PC3WHM9OHZLExirTcU,APO Hiking Society,7x3HIpeXBQLIRfXprafCRG,140080,2008-08-01,0,0.465,0.599,5,-6.861,1,0.0305,0.452,0.000202,0.12,0.618,111.463,6IaLeBuIFuX9N5APlk7hSD,6IaLeBuIFuX9N5APlk7hSD
3UmIPPcmj9BOq4GPiRkKRb,Magkasuyo Buong Gabi,77hvqYqKgIrS1SC0BhRdQx,RICO J PUNO,7GVCKXAwXO53nu4xgJNt8J,228600,2012-03-02,0,0.398,0.678,11,-7.11,1,0.0581,0.344,0.0,0.0932,0.78,147.303,3UmIPPcmj9BOq4GPiRkKRb,3UmIPPcmj9BOq4GPiRkKRb
037VNiaoQ5um3zayGqMiLB,Legs,7JJ3NfHRSDv3d6IBBGxtMH,Hagibis,5IoV5u7p8lOpzB4w3juven,322666,2008-05-06,0,0.757,0.748,2,-7.287,1,0.0541,0.116,2.48e-06,0.0803,0.831,133.781,037VNiaoQ5um3zayGqMiLB,037VNiaoQ5um3zayGqMiLB
2pLHq3TJRQsuQZpac0oej1,Panakip butas,4u6tIl0ae3m9HUtUubJsa6,Hajji Alejandro,4nFyEWIa5hbrQphFNWtNJA,173973,2009-10-06,0,0.431,0.526,10,-7.619,1,0.0269,0.68,2.51e-06,0.267,0.634,87.388,2pLHq3TJRQsuQZpac0oej1,2pLHq3TJRQsuQZpac0oej1
4uXISylaBA9SJxIqOJUe90,T.L. Ako Sa 'Yo,65QcnpMJFv1yogXwoOe97v,Cinderella,7x3HIpeXBQLIRfXprafCRG,180480,2008-08-01,0,0.703,0.379,5,-8.671,0,0.0333,0.739,0.0252,0.144,0.505,75.17,4uXISylaBA9SJxIqOJUe90,4uXISylaBA9SJxIqOJUe90
5RoHWzcyVZBY37xW4reHCm,Babaero,05QLUMCFhUj7MAtXVPsvPR,Randy Santiago,27Pcycvul0eKSWcGvuY1yr,315506,2008-04-13,0,0.799,0.622,10,-11.663,1,0.0352,0.186,4.26e-05,0.114,0.716,128.939,5RoHWzcyVZBY37xW4reHCm,5RoHWzcyVZBY37xW4reHCm
0jpu2kF9CYRg2dgcIot3yo,Binibini,0GMSTrBKMucDuHH46oXvqo,Rainmakers,7GGjRn5mtxaI8MugFsHYCu,215626,2009-02-13,0,0.393,0.42,7,-11.329,1,0.0253,0.91,0.681,0.243,0.556,78.203,0jpu2kF9CYRg2dgcIot3yo,0jpu2kF9CYRg2dgcIot3yo
1F19wTwmX7Wf6w7BKxbf9Q,Ang Boyfriend kong Baduy,65QcnpMJFv1yogXwoOe97v,Cinderella,5maiiPyD9dUefUzhZN3YQx,175693,2008,0,0.753,0.408,0,-9.231,1,0.0344,0.509,5.12e-05,0.158,0.892,128.18,1F19wTwmX7Wf6w7BKxbf9Q,1F19wTwmX7Wf6w7BKxbf9Q
1zpZWa6OE2YQv32lwI78A5,Saranggola ni Pepe,20gOeXI8NLUKdSr9Z4YeD6,Celeste Legaspi,2JyC75xQHgmBbBjnQjNUv9,134466,2009-02-13,0,0.723,0.296,3,-12.395,1,0.0431,0.916,0.0,0.356,0.806,120.61,1zpZWa6OE2YQv32lwI78A5,1zpZWa6OE2YQv32lwI78A5
6Vijmq1vGwly21Ng5IRmX2,Rock baby Rock,1JygQfeB7OmzophGsgNwSb,VST & Company,69rDqlyVlRanqBUhqPX0vj,241000,2008-09-18,0,0.622,0.894,9,-9.668,0,0.0742,0.242,0.018,0.348,0.807,133.477,6Vijmq1vGwly21Ng5IRmX2,6Vijmq1vGwly21Ng5IRmX2
4Dkl3MgXXPUEgkyKgDTT0m,Superstar ng buhay ko,65QcnpMJFv1yogXwoOe97v,Cinderella,5maiiPyD9dUefUzhZN3YQx,187293,2008,0,0.515,0.358,10,-8.711,1,0.0239,0.655,0.0158,0.123,0.566,85.3,4Dkl3MgXXPUEgkyKgDTT0m,4Dkl3MgXXPUEgkyKgDTT0m
7vJtbGUo6GdqyPWeZtxjVW,Magbago Ka,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,1RjVgtXi6Qngja8mnZpbPt,187373,2009-02-04,0,0.586,0.314,0,-15.062,0,0.0368,0.51,0.00107,0.0724,0.193,128.749,7vJtbGUo6GdqyPWeZtxjVW,7vJtbGUo6GdqyPWeZtxjVW
