popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,is_top200,predicted_top200,predicted_top200_prob
38,0.54,0.0765,11,-18.398,1,0.036000000000000004,0.8859999999999999,0.000133,0.127,0.149,127.051,0,0,0.6
40,0.34600000000000003,0.618,9,-5.9910000000000005,1,0.0432,0.447,1.94e-05,0.187,0.434,119.909,0,0,0.6
43,0.563,0.6,5,-3.637,1,0.0351,0.00809,1.23e-05,0.12,0.145,124.108,0,0,0.8
3,0.695,0.514,9,-11.297,1,0.0281,0.119,0.0,0.236,0.6759999999999999,118.066,0,0,0.6
25,0.7909999999999999,0.214,8,-12.943,0,0.0972,0.705,0.000124,0.0799,0.362,124.629,0,0,0.6
49,0.596,0.411,9,-7.669,1,0.0292,0.5920000000000001,0.0,0.274,0.207,123.885,0,0,1.0
44,0.7190000000000001,0.706,5,-5.9220000000000015,1,0.0273,0.142,4.57e-05,0.0918,0.293,123.022,0,0,1.0
23,0.408,0.334,8,-9.921,1,0.0359,0.0772,2.35e-05,0.08,0.4920000000000001,119.773,0,0,0.8
26,0.423,0.546,1,-5.109,1,0.0388,0.0828,0.0003,0.0857,0.224,123.754,0,0,1.0
40,0.7909999999999999,0.227,6,-13.125,0,0.041,0.8270000000000001,0.00209,0.112,0.132,121.942,0,0,0.8
31,0.662,0.6759999999999999,2,-6.898,0,0.0387,0.0332,0.000119,0.12,0.485,125.088,0,0,0.8
12,0.5660000000000001,0.853,0,-4.287,1,0.032,0.0127,0.0005650000000000001,0.0992,0.359,124.935,0,0,0.8
18,0.575,0.8909999999999999,4,-8.265,1,0.0496,0.607,0.8340000000000001,0.34600000000000003,0.677,120.452,0,0,1.0
5,0.6809999999999999,0.234,2,-13.407,1,0.0339,0.6990000000000001,4.86e-05,0.0897,0.0665,117.945,0,0,0.6
44,0.618,0.746,11,-3.933,1,0.0361,0.0584,0.000476,0.173,0.6,120.0,0,0,0.6
17,0.5489999999999999,0.698,6,-6.174,1,0.0493,0.0248,0.000455,0.0546,0.601,124.158,0,0,0.8
27,0.954,0.318,2,-10.444,0,0.104,0.28800000000000003,2.98e-05,0.0717,0.4970000000000001,124.952,0,0,0.6
15,0.59,0.8740000000000001,9,-3.367,1,0.0442,8.18e-05,8.24e-06,0.0624,0.371,125.026,0,0,0.6
23,0.53,0.726,7,-8.066,0,0.0327,0.0967,0.00642,0.0663,0.22,120.006,0,0,0.6
17,0.5529999999999999,0.5670000000000001,8,-7.728,1,0.0384,0.0625,0.0,0.0992,0.408,124.741,0,0,1.0
31,0.782,0.5429999999999999,8,-6.147,0,0.0414,0.218,6.06e-05,0.121,0.77,119.972,0,0,0.8
0,0.6920000000000001,0.778,6,-4.796,0,0.0291,0.142,0.0,0.138,0.732,122.995,0,0,1.0
32,0.7659999999999999,0.326,9,-9.114,1,0.0319,0.485,0.0233,0.35,0.29,120.021,0,0,0.6
27,0.7140000000000001,0.561,7,-11.405,1,0.0501,0.35600000000000004,0.102,0.41,0.413,125.034,0,0,0.6
34,0.604,0.411,4,-7.763,1,0.0373,0.423,0.0975,0.209,0.5670000000000001,120.09,0,0,0.6
0,0.642,0.853,9,-5.051,1,0.0344,0.104,0.193,0.161,0.747,124.061,0,0,1.0
19,0.669,0.804,11,-5.891,1,0.0386,0.0138,0.0005650000000000001,0.207,0.5760000000000001,120.993,0,0,0.8
20,0.625,0.64,1,-8.698,1,0.0296,0.0252,0.0,0.172,0.6609999999999999,125.002,0,0,0.8
33,0.5710000000000001,0.857,7,-4.578,1,0.0335,0.00554,0.0,0.0671,0.703,120.018,0,0,0.6
16,0.585,0.526,6,-4.378,0,0.0361,0.0504,1.72e-06,0.109,0.438,123.887,0,0,1.0
10,0.5660000000000001,0.8590000000000001,0,-3.985,1,0.0348,0.0845,0.1,0.33,0.555,120.033,0,0,0.6
27,0.611,0.685,9,-3.618,0,0.0349,0.00398,0.0932,0.174,0.368,126.975,0,0,0.6
54,0.425,0.6579999999999999,9,-6.739,1,0.0349,0.355,1.99e-06,0.0836,0.293,122.366,0,0,1.0
19,0.63,0.6609999999999999,2,-7.1610000000000005,0,0.0379,0.0819,7.020000000000001e-05,0.108,0.5710000000000001,125.072,0,0,0.8
43,0.513,0.38,11,-11.091,1,0.0336,0.12,0.0,0.0924,0.32299999999999995,120.952,0,0,1.0
30,0.629,0.691,4,-7.937,1,0.0289,0.0571,0.0,0.126,0.799,121.944,0,0,1.0
38,0.616,0.324,4,-10.888,1,0.0323,0.579,2.08e-05,0.11,0.0765,119.837,0,0,0.6
20,0.522,0.733,8,-5.541,1,0.0299,0.293,0.0,0.236,0.631,126.082,0,0,0.6
51,0.502,0.185,10,-11.423,1,0.0635,0.8640000000000001,0.0,0.105,0.185,125.044,0,0,0.6
50,0.578,0.328,2,-7.462999999999999,1,0.0299,0.564,5.32e-06,0.149,0.263,120.814,0,0,1.0
7,0.483,0.455,0,-10.734000000000002,1,0.0456,0.151,0.0,0.274,0.6809999999999999,123.516,0,0,0.8
15,0.415,0.246,0,-9.46,1,0.0347,0.919,0.00218,0.0988,0.202,123.864,0,0,0.8
20,0.638,0.385,9,-13.341,1,0.0321,0.6729999999999999,2.47e-06,0.329,0.5710000000000001,119.045,0,0,0.6
21,0.684,0.116,4,-16.723,1,0.0408,0.93,0.0735,0.104,0.244,126.078,0,0,0.6
19,0.6509999999999999,0.258,7,-9.323,1,0.0341,0.737,6.82e-06,0.209,0.139,125.146,0,0,0.6
23,0.5579999999999999,0.388,7,-9.078,1,0.0297,0.674,0.0,0.358,0.149,119.978,0,0,0.6
17,0.732,0.65,6,-7.869,0,0.118,0.338,0.00121,0.22,0.615,122.971,0,0,1.0
16,0.466,0.396,2,-11.832,1,0.0652,0.0148,3.79e-05,0.238,0.826,124.61,0,0,0.8
14,0.5920000000000001,0.584,0,-14.183,1,0.0455,0.308,7.92e-05,0.0799,0.403,126.592,0,0,0.6
41,0.621,0.404,4,-8.232000000000001,1,0.0366,0.309,0.00312,0.28600000000000003,0.595,120.474,0,0,0.6
5,0.531,0.229,1,-12.832,0,0.0314,0.575,0.00628,0.105,0.0703,119.888,0,0,0.8
9,0.3670000000000001,0.74,5,-5.707999999999998,0,0.0447,0.0404,1.21e-05,0.329,0.469,120.972,0,0,0.6
3,0.7,0.544,7,-10.087,1,0.0332,0.0152,0.101,0.121,0.606,120.078,0,0,0.8
3,0.612,0.257,1,-13.12,0,0.0362,0.277,0.0727,0.13699999999999998,0.0932,119.887,0,0,0.8
3,0.383,0.4370000000000001,1,-10.241,1,0.0422,0.369,0.00958,0.1,0.1,120.222,0,0,0.8
22,0.728,0.262,2,-15.059,1,0.0414,0.943,0.0683,0.118,0.488,127.871,0,0,0.6
0,0.653,0.66,10,-7.797999999999999,1,0.0277,0.35100000000000003,0.00626,0.109,0.685,122.451,0,0,1.0
0,0.654,0.654,3,-9.191,1,0.0272,0.118,0.0613,0.086,0.8059999999999999,120.085,0,0,0.6
2,0.718,0.274,2,-12.277,1,0.0378,0.7759999999999999,6.63e-05,0.0961,0.376,118.925,0,0,0.6
21,0.662,0.478,7,-9.107,1,0.0289,0.0467,0.0265,0.139,0.0767,119.998,0,0,0.6
13,0.672,0.328,7,-15.024,1,0.0352,0.855,0.206,0.159,0.5920000000000001,119.818,0,0,0.8
59,0.7070000000000001,0.503,0,-8.266,1,0.0742,0.171,0.00197,0.0586,0.295,121.931,0,0,1.0
13,0.636,0.659,0,-6.312,1,0.0348,0.478,0.000121,0.0935,0.732,122.167,0,0,1.0
24,0.562,0.865,4,-4.421,1,0.061,0.0191,0.000122,0.0864,0.482,125.056,0,0,0.8
19,0.7190000000000001,0.563,10,-7.1370000000000005,1,0.0312,0.14800000000000002,0.133,0.105,0.47,119.907,0,0,1.0
10,0.37,0.6779999999999999,0,-7.063,1,0.0328,0.0314,0.000181,0.0932,0.312,125.174,0,0,0.6
8,0.695,0.463,5,-6.783,1,0.0288,0.754,0.0,0.35100000000000003,0.381,120.022,0,0,0.8
30,0.546,0.184,6,-15.367,1,0.0349,0.8240000000000001,2.24e-05,0.117,0.229,127.655,0,0,0.6
36,0.602,0.353,5,-9.919,0,0.0288,0.629,0.0,0.141,0.263,119.875,0,0,0.6
26,0.654,0.449,9,-10.538,0,0.0323,0.0886,3.85e-05,0.277,0.718,124.13,0,0,0.8
17,0.662,0.6509999999999999,8,-7.362999999999999,1,0.0316,0.0798,0.0393,0.166,0.602,119.989,0,0,1.0
17,0.755,0.57,0,-8.771,1,0.0397,0.00605,0.174,0.331,0.196,119.954,0,0,0.6
16,0.773,0.398,4,-8.533,1,0.0466,0.168,0.0,0.188,0.207,120.029,0,0,0.6
19,0.695,0.79,6,-4.7639999999999985,0,0.0291,0.141,0.0,0.122,0.731,123.009,0,0,1.0
11,0.7440000000000001,0.6890000000000001,1,-8.406,1,0.028,0.29600000000000004,0.284,0.11,0.328,120.036,0,0,0.6
7,0.688,0.728,0,-3.928,1,0.0263,0.29100000000000004,0.0368,0.0912,0.7340000000000001,119.996,0,0,0.6
